Recency,Frequency,Monetarry,Cluster,HC_Cluster,DBSCAN_Cluster_025,DBSCAN_Cluster_03,DBSCAN_Cluster_035,DBSCAN_Cluster_040,GMM_Cluster,Customer_Segment,KMeans_cluster
185,5,1850.56,3,1,0,0,0,0,0,Low-Value Customers,3
29,2,585.27,1,2,0,0,0,0,3,Regular Customers,1
338,2,401.9,3,1,0,0,0,0,3,Low-Value Customers,3
16,6,2780.66,1,2,0,0,0,0,1,Regular Customers,1
80,1,549.84,1,2,0,0,0,0,3,Regular Customers,1
22,1,439.66,1,2,0,0,0,0,3,Regular Customers,1
72,4,1582.6,1,2,0,0,0,0,1,Regular Customers,1
64,2,1272.48,1,2,0,0,0,0,1,Regular Customers,1
19,12,3018.63,1,2,0,0,0,0,1,Regular Customers,1
36,2,2409.9,1,2,0,0,0,0,1,Regular Customers,1
46,1,1635.66,1,2,0,0,0,0,1,Regular Customers,1
119,4,1108.65,1,2,0,0,0,0,1,Regular Customers,1
303,1,84.3,3,1,0,0,0,0,3,Low-Value Customers,3
323,1,225.6,3,1,0,0,0,0,3,Low-Value Customers,3
50,1,427.7,1,2,0,0,0,0,3,Regular Customers,1
149,1,1710.39,3,1,0,0,0,0,0,Low-Value Customers,3
22,2,3415.3,1,2,0,0,0,0,1,Regular Customers,1
50,5,1708.12,1,2,0,0,0,0,1,Regular Customers,1
33,5,2888.55,1,2,0,0,0,0,1,Regular Customers,1
79,3,11072.67,1,2,-1,-1,-1,-1,0,Regular Customers,1
309,2,693.3299999999999,3,1,0,0,0,0,3,Low-Value Customers,3
75,3,1226.88,1,2,0,0,0,0,1,Regular Customers,1
67,3,758.1,1,2,0,0,0,0,1,Regular Customers,1
217,3,562.41,3,1,0,0,0,0,3,Low-Value Customers,3
24,20,124914.53,2,3,-1,-1,-1,-1,2,VIP Customers,2
3,9,3649.1,1,2,0,0,0,0,1,Regular Customers,1
113,1,668.58,1,2,0,0,0,0,3,Regular Customers,1
64,1,600.39,1,2,0,0,0,0,3,Regular Customers,1
16,4,807.04,1,2,0,0,0,0,1,Regular Customers,1
96,3,803.5600000000001,1,2,0,0,0,0,3,Regular Customers,1
1,8,1859.31,1,2,0,0,0,0,1,Regular Customers,1
163,1,1760.96,3,1,0,0,0,0,0,Low-Value Customers,3
78,1,777.2,1,2,0,0,0,0,1,Regular Customers,1
195,1,582.73,3,1,0,0,0,0,3,Low-Value Customers,3
22,3,825.8,1,2,0,0,0,0,1,Regular Customers,1
26,9,7956.46,1,2,0,0,0,0,0,Regular Customers,1
9,4,3750.4,1,2,0,0,0,0,1,Regular Customers,1
43,1,256.4,1,2,0,0,0,0,3,Regular Customers,1
36,15,6419.95,0,2,0,0,0,0,0,High-Value Customers,0
43,5,5059.32,1,2,0,0,0,0,0,Regular Customers,1
1,7,13375.87,1,2,-1,-1,0,0,0,Regular Customers,1
85,2,806.14,1,2,0,0,0,0,3,Regular Customers,1
80,2,7829.89,1,2,-1,-1,0,0,0,Regular Customers,1
100,1,509.01,1,2,0,0,0,0,3,Regular Customers,1
2,18,4951.41,0,2,0,0,0,0,0,High-Value Customers,0
14,2,2906.85,1,2,0,0,0,0,1,Regular Customers,1
367,1,173.55,3,1,0,0,0,0,3,Low-Value Customers,3
3,1,172.06,1,2,0,0,0,0,3,Regular Customers,1
21,5,5005.46,1,2,0,0,0,0,0,Regular Customers,1
22,1,133.4,1,2,0,0,0,0,3,Regular Customers,1
58,1,1002.31,1,2,0,0,0,0,1,Regular Customers,1
243,1,476.49,3,1,0,0,0,0,3,Low-Value Customers,3
44,1,449.45,1,2,0,0,0,0,3,Regular Customers,1
22,4,4067.29,1,2,0,0,0,0,0,Regular Customers,1
156,2,197.88,3,1,0,0,0,0,3,Low-Value Customers,3
11,5,9035.52,1,2,-1,0,0,0,0,Regular Customers,1
17,2,430.57,1,2,0,0,0,0,3,Regular Customers,1
134,1,707.09,1,2,0,0,0,0,3,Regular Customers,1
56,1,3528.34,1,2,0,0,0,0,0,Regular Customers,1
73,6,2466.86,1,2,0,0,0,0,1,Regular Customers,1
44,3,3181.04,1,2,0,0,0,0,1,Regular Customers,1
66,7,2363.23,1,2,0,0,0,0,1,Regular Customers,1
71,2,947.4,1,2,0,0,0,0,1,Regular Customers,1
94,2,826.88,1,2,0,0,0,0,3,Regular Customers,1
19,2,1189.59,1,2,0,0,0,0,1,Regular Customers,1
53,4,1344.78,1,2,0,0,0,0,1,Regular Customers,1
10,8,1212.05,1,2,0,0,0,0,1,Regular Customers,1
17,2,742.1899999999999,1,2,0,0,0,0,3,Regular Customers,1
188,2,729.5400000000001,3,1,0,0,0,0,3,Low-Value Customers,3
2,30,19788.65,0,2,-1,1,1,0,2,High-Value Customers,0
32,7,6572.11,1,2,0,0,0,0,0,Regular Customers,1
29,5,3928.05,1,2,0,0,0,0,1,Regular Customers,1
17,18,7324.09,0,2,0,0,0,0,0,High-Value Customers,0
54,1,723.38,1,2,0,0,0,0,1,Regular Customers,1
16,11,6816.42,1,2,0,0,0,0,0,Regular Customers,1
23,6,13219.74,1,2,-1,-1,0,0,0,Regular Customers,1
4,1,680.99,1,2,0,0,0,0,3,Regular Customers,1
11,1,527.2,1,2,0,0,0,0,3,Regular Customers,1
28,4,3281.63,1,2,0,0,0,0,1,Regular Customers,1
23,10,5579.82,1,2,0,0,0,0,0,Regular Customers,1
17,8,2484.98,1,2,0,0,0,0,1,Regular Customers,1
33,6,4527.32,1,2,0,0,0,0,0,Regular Customers,1
10,3,1298.66,1,2,0,0,0,0,1,Regular Customers,1
336,1,334.93,3,1,0,0,0,0,3,Low-Value Customers,3
5,10,5417.93,1,2,0,0,0,0,0,Regular Customers,1
39,1,460.4,1,2,0,0,0,0,3,Regular Customers,1
63,2,263.21000000000004,1,2,0,0,0,0,3,Regular Customers,1
166,2,433.74,3,1,0,0,0,0,3,Low-Value Customers,3
16,7,1246.1,1,2,0,0,0,0,1,Regular Customers,1
82,1,1043.1,1,2,0,0,0,0,1,Regular Customers,1
21,3,403.7000000000001,1,2,0,0,0,0,1,Regular Customers,1
23,11,4257.82,1,2,0,0,0,0,1,Regular Customers,1
337,1,2169.39,3,1,0,0,0,0,0,Low-Value Customers,3
96,5,3723.87,1,2,0,0,0,0,0,Regular Customers,1
18,2,482.05,1,2,0,0,0,0,3,Regular Customers,1
233,1,73.5,3,1,0,0,0,0,3,Low-Value Customers,3
134,3,1304.81,1,1,0,0,0,0,0,Regular Customers,1
26,2,397.88,1,2,0,0,0,0,3,Regular Customers,1
284,1,176.5,3,1,0,0,0,0,3,Low-Value Customers,3
143,2,982.57,1,1,0,0,0,0,3,Regular Customers,1
66,2,132.18,1,2,0,0,0,0,3,Regular Customers,1
113,1,612.29,1,2,0,0,0,0,3,Regular Customers,1
267,1,1017.68,3,1,0,0,0,0,3,Low-Value Customers,3
353,1,383.7,3,1,0,0,0,0,3,Low-Value Customers,3
78,2,1312.06,1,2,0,0,0,0,1,Regular Customers,1
28,5,2481.6,1,2,0,0,0,0,1,Regular Customers,1
1,5,2056.89,1,2,0,0,0,0,1,Regular Customers,1
64,1,330.84,1,2,0,0,0,0,3,Regular Customers,1
79,5,2634.26,1,2,0,0,0,0,1,Regular Customers,1
143,1,599.68,1,1,0,0,0,0,3,Regular Customers,1
39,2,192.72,1,2,0,0,0,0,3,Regular Customers,1
19,11,1789.77,1,2,0,0,0,0,1,Regular Customers,1
9,8,4485.72,1,2,0,0,0,0,1,Regular Customers,1
1,3,1316.66,1,2,0,0,0,0,1,Regular Customers,1
82,3,348.71000000000004,1,2,0,0,0,0,1,Regular Customers,1
9,6,1933.48,1,2,0,0,0,0,1,Regular Customers,1
60,4,1662.28,1,2,0,0,0,0,1,Regular Customers,1
15,1,125.22,1,2,0,0,0,0,3,Regular Customers,1
30,1,349.83000000000004,1,2,0,0,0,0,3,Regular Customers,1
131,1,1089.18,1,2,0,0,0,0,0,Regular Customers,1
92,2,716.35,1,2,0,0,0,0,3,Regular Customers,1
43,3,12601.830000000002,1,2,-1,-1,-1,0,0,Regular Customers,1
29,1,363.95,1,2,0,0,0,0,3,Regular Customers,1
22,4,5568.35,1,2,0,0,0,0,0,Regular Customers,1
20,17,13400.24,0,2,-1,-1,0,0,0,High-Value Customers,0
30,3,981.18,1,2,0,0,0,0,1,Regular Customers,1
36,1,372.7,1,2,0,0,0,0,3,Regular Customers,1
75,2,1000.39,1,2,0,0,0,0,1,Regular Customers,1
47,2,1161.5,1,2,0,0,0,0,1,Regular Customers,1
198,2,207.8,3,1,0,0,0,0,3,Low-Value Customers,3
166,1,95.2,3,1,0,0,0,0,3,Low-Value Customers,3
79,1,964.83,1,2,0,0,0,0,1,Regular Customers,1
358,1,168.0,3,1,0,0,0,0,3,Low-Value Customers,3
39,2,437.82,1,2,0,0,0,0,3,Regular Customers,1
8,10,3692.28,1,2,0,0,0,0,1,Regular Customers,1
50,2,599.56,1,2,0,0,0,0,3,Regular Customers,1
16,5,11990.96,1,2,-1,-1,0,0,0,Regular Customers,1
8,1,269.96,1,2,0,0,0,0,3,Regular Customers,1
311,2,561.71,3,1,0,0,0,0,3,Low-Value Customers,3
5,3,2134.01,1,2,0,0,0,0,1,Regular Customers,1
303,1,238.85,3,1,0,0,0,0,3,Low-Value Customers,3
8,7,3781.74,1,2,0,0,0,0,1,Regular Customers,1
261,1,456.9,3,1,0,0,0,0,3,Low-Value Customers,3
289,1,145.92,3,1,0,0,0,0,3,Low-Value Customers,3
86,1,351.65,1,2,0,0,0,0,3,Regular Customers,1
23,10,9401.28,1,2,0,0,0,0,0,Regular Customers,1
2,30,4124.69,0,2,-1,-1,-1,-1,2,High-Value Customers,0
40,2,519.61,1,2,0,0,0,0,3,Regular Customers,1
9,2,1020.42,1,2,0,0,0,0,1,Regular Customers,1
227,1,160.54000000000002,3,1,0,0,0,0,3,Low-Value Customers,3
316,1,218.45,3,1,0,0,0,0,3,Low-Value Customers,3
36,5,1315.83,1,2,0,0,0,0,1,Regular Customers,1
35,3,626.6,1,2,0,0,0,0,1,Regular Customers,1
21,2,2794.51,1,2,0,0,0,0,1,Regular Customers,1
78,1,440.42,1,2,0,0,0,0,3,Regular Customers,1
247,1,415.7,3,1,0,0,0,0,3,Low-Value Customers,3
40,1,197.71,1,2,0,0,0,0,3,Regular Customers,1
239,2,511.36,3,1,0,0,0,0,3,Low-Value Customers,3
3,15,7281.38,0,2,0,0,0,0,0,High-Value Customers,0
4,9,2338.15,1,2,0,0,0,0,1,Regular Customers,1
234,2,2040.1,3,1,0,0,0,0,0,Low-Value Customers,3
17,1,196.94000000000003,1,2,0,0,0,0,3,Regular Customers,1
8,1,144.0,1,2,0,0,0,0,3,Regular Customers,1
39,1,214.9,1,2,0,0,0,0,3,Regular Customers,1
29,2,646.68,1,2,0,0,0,0,3,Regular Customers,1
211,2,9864.26,3,1,-1,-1,-1,-1,0,Low-Value Customers,3
317,1,452.85,3,1,0,0,0,0,3,Low-Value Customers,3
92,2,437.6,1,2,0,0,0,0,3,Regular Customers,1
109,3,418.1,1,2,0,0,0,0,3,Regular Customers,1
38,10,3338.2200000000003,1,2,0,0,0,0,1,Regular Customers,1
51,2,618.27,1,2,0,0,0,0,3,Regular Customers,1
19,4,3811.22,1,2,0,0,0,0,1,Regular Customers,1
10,8,3023.08,1,2,0,0,0,0,1,Regular Customers,1
29,7,1032.58,1,2,0,0,0,0,1,Regular Customers,1
29,10,2599.04,1,2,0,0,0,0,1,Regular Customers,1
190,5,577.0600000000001,3,1,0,0,0,0,0,Low-Value Customers,3
59,1,153.12,1,2,0,0,0,0,3,Regular Customers,1
22,1,739.1999999999999,1,2,0,0,0,0,1,Regular Customers,1
79,2,254.18,1,2,0,0,0,0,3,Regular Customers,1
60,1,1579.51,1,2,0,0,0,0,1,Regular Customers,1
78,3,1126.85,1,2,0,0,0,0,1,Regular Customers,1
23,5,2099.54,1,2,0,0,0,0,1,Regular Customers,1
52,1,1193.32,1,2,0,0,0,0,1,Regular Customers,1
74,1,704.0400000000001,1,2,0,0,0,0,3,Regular Customers,1
57,5,3344.38,1,2,0,0,0,0,1,Regular Customers,1
278,1,315.6,3,1,0,0,0,0,3,Low-Value Customers,3
2,4,2291.19,1,2,0,0,0,0,1,Regular Customers,1
95,2,713.3,1,2,0,0,0,0,3,Regular Customers,1
29,1,352.98,1,2,0,0,0,0,3,Regular Customers,1
22,1,177.31,1,2,0,0,0,0,3,Regular Customers,1
16,9,3641.24,1,2,0,0,0,0,1,Regular Customers,1
15,3,1339.41,1,2,0,0,0,0,1,Regular Customers,1
2,20,13689.67,0,2,-1,0,0,0,0,High-Value Customers,0
232,1,180.1,3,1,0,0,0,0,3,Low-Value Customers,3
276,1,305.1,3,1,0,0,0,0,3,Low-Value Customers,3
106,2,641.13,1,2,0,0,0,0,3,Regular Customers,1
212,2,2683.82,3,1,0,0,0,0,0,Low-Value Customers,3
23,9,6620.48,1,2,0,0,0,0,0,Regular Customers,1
11,7,4478.53,1,2,0,0,0,0,0,Regular Customers,1
4,3,786.46,1,2,0,0,0,0,1,Regular Customers,1
10,2,1270.88,1,2,0,0,0,0,1,Regular Customers,1
57,1,640.5,1,2,0,0,0,0,3,Regular Customers,1
59,4,2163.98,1,2,0,0,0,0,1,Regular Customers,1
90,2,1689.18,1,2,0,0,0,0,1,Regular Customers,1
67,9,6002.9,1,2,-1,0,0,0,0,Regular Customers,1
33,1,671.69,1,2,0,0,0,0,1,Regular Customers,1
239,1,486.1,3,1,0,0,0,0,3,Low-Value Customers,3
24,3,1174.58,1,2,0,0,0,0,1,Regular Customers,1
115,1,185.9,1,2,0,0,0,0,3,Regular Customers,1
25,3,1013.26,1,2,0,0,0,0,1,Regular Customers,1
128,6,3344.64,1,1,0,0,0,0,0,Regular Customers,1
130,1,477.91,1,2,0,0,0,0,3,Regular Customers,1
34,4,1775.18,1,2,0,0,0,0,1,Regular Customers,1
5,2,1346.97,1,2,0,0,0,0,1,Regular Customers,1
22,12,3722.82,1,2,0,0,0,0,1,Regular Customers,1
155,1,318.05,3,1,0,0,0,0,3,Low-Value Customers,3
107,3,623.51,1,2,0,0,0,0,3,Regular Customers,1
3,1,314.44,1,2,0,0,0,0,3,Regular Customers,1
335,1,114.0,3,1,0,0,0,0,3,Low-Value Customers,3
331,1,919.98,3,1,0,0,0,0,3,Low-Value Customers,3
149,2,2209.85,3,1,0,0,0,0,0,Low-Value Customers,3
11,5,601.98,1,2,0,0,0,0,1,Regular Customers,1
17,5,4051.17,1,2,0,0,0,0,1,Regular Customers,1
11,4,1643.18,1,2,0,0,0,0,1,Regular Customers,1
19,1,686.05,1,2,0,0,0,0,1,Regular Customers,1
30,1,91.68,1,2,0,0,0,0,3,Regular Customers,1
11,1,245.1,1,2,0,0,0,0,3,Regular Customers,1
1,11,3849.78,1,2,0,0,0,0,1,Regular Customers,1
8,9,4881.88,1,2,0,0,0,0,0,Regular Customers,1
325,1,63.0,3,1,0,0,0,0,3,Low-Value Customers,3
58,1,620.13,1,2,0,0,0,0,3,Regular Customers,1
12,4,3807.15,1,2,0,0,0,0,1,Regular Customers,1
151,3,2744.03,3,1,0,0,0,0,0,Low-Value Customers,3
10,5,2996.05,1,2,0,0,0,0,1,Regular Customers,1
330,1,225.9,3,1,0,0,0,0,3,Low-Value Customers,3
5,2,610.52,1,2,0,0,0,0,3,Regular Customers,1
39,4,1970.6,1,2,0,0,0,0,1,Regular Customers,1
25,6,1331.39,1,2,0,0,0,0,1,Regular Customers,1
42,12,17628.46,0,2,-1,-1,-1,-1,0,High-Value Customers,0
59,4,1113.02,1,2,0,0,0,0,1,Regular Customers,1
1,4,862.81,1,2,0,0,0,0,1,Regular Customers,1
15,22,13787.54,0,2,-1,0,0,0,0,High-Value Customers,0
4,31,12279.82,0,2,-1,-1,-1,-1,2,High-Value Customers,0
4,15,8476.57,0,2,0,0,0,0,0,High-Value Customers,0
8,7,2283.63,1,2,0,0,0,0,1,Regular Customers,1
28,6,2863.08,1,2,0,0,0,0,1,Regular Customers,1
372,1,89.14,3,1,0,0,0,0,3,Low-Value Customers,3
114,1,4873.81,1,2,0,0,0,0,0,Regular Customers,1
26,2,1247.61,1,2,0,0,0,0,1,Regular Customers,1
206,1,389.01,3,1,0,0,0,0,3,Low-Value Customers,3
28,6,1035.8,1,2,0,0,0,0,1,Regular Customers,1
127,4,855.91,1,2,0,0,0,0,0,Regular Customers,1
70,2,869.67,1,2,0,0,0,0,3,Regular Customers,1
7,4,582.1,1,2,0,0,0,0,1,Regular Customers,1
29,3,957.59,1,2,0,0,0,0,1,Regular Customers,1
8,4,4939.99,1,2,0,0,0,0,0,Regular Customers,1
80,2,797.71,1,2,0,0,0,0,3,Regular Customers,1
20,1,219.0,1,2,0,0,0,0,3,Regular Customers,1
71,1,283.55,1,2,0,0,0,0,3,Regular Customers,1
7,8,2340.84,1,2,0,0,0,0,1,Regular Customers,1
15,9,6868.29,1,2,0,0,0,0,0,Regular Customers,1
292,1,603.42,3,1,0,0,0,0,3,Low-Value Customers,3
30,10,2712.91,1,2,0,0,0,0,1,Regular Customers,1
15,15,9706.52,0,2,0,0,0,0,0,High-Value Customers,0
97,3,1149.02,1,2,0,0,0,0,1,Regular Customers,1
29,13,4396.13,1,2,0,0,0,0,0,Regular Customers,1
1,1,848.55,1,2,0,0,0,0,1,Regular Customers,1
9,5,4708.86,1,2,0,0,0,0,0,Regular Customers,1
106,1,343.36,1,2,0,0,0,0,3,Regular Customers,1
4,2,1053.49,1,2,0,0,0,0,1,Regular Customers,1
151,2,1030.98,3,1,0,0,0,0,3,Low-Value Customers,3
71,1,238.25,1,2,0,0,0,0,3,Regular Customers,1
5,2,644.95,1,2,0,0,0,0,3,Regular Customers,1
3,25,5781.73,0,2,1,0,0,0,2,High-Value Customers,0
32,6,2656.13,1,2,0,0,0,0,1,Regular Customers,1
85,4,997.63,1,2,0,0,0,0,1,Regular Customers,1
4,5,725.07,1,2,0,0,0,0,1,Regular Customers,1
5,4,1031.41,1,2,0,0,0,0,1,Regular Customers,1
371,1,427.8,3,1,0,0,0,0,3,Low-Value Customers,3
28,7,2609.1,1,2,0,0,0,0,1,Regular Customers,1
11,7,3980.7,1,2,0,0,0,0,1,Regular Customers,1
71,4,836.33,1,2,0,0,0,0,1,Regular Customers,1
114,1,453.01,1,2,0,0,0,0,3,Regular Customers,1
24,12,18895.91,0,2,-1,-1,-1,-1,0,High-Value Customers,0
180,1,236.26,3,1,0,0,0,0,3,Low-Value Customers,3
234,1,383.95,3,1,0,0,0,0,3,Low-Value Customers,3
353,1,110.4,3,1,0,0,0,0,3,Low-Value Customers,3
315,2,779.5699999999999,3,1,0,0,0,0,3,Low-Value Customers,3
333,1,234.0,3,1,0,0,0,0,3,Low-Value Customers,3
372,1,155.35,3,1,0,0,0,0,3,Low-Value Customers,3
78,2,1013.04,1,2,0,0,0,0,1,Regular Customers,1
64,1,427.6,1,2,0,0,0,0,3,Regular Customers,1
134,2,540.13,1,1,0,0,0,0,3,Regular Customers,1
52,7,21279.29,0,2,-1,-1,-1,-1,0,High-Value Customers,0
2,11,4196.01,1,2,0,0,0,0,1,Regular Customers,1
1,210,33053.19,2,0,-1,-1,-1,-1,2,VIP Customers,2
4,5,4090.88,1,2,0,0,0,0,1,Regular Customers,1
129,1,275.88,1,2,0,0,0,0,3,Regular Customers,1
81,1,4366.78,1,2,0,0,0,0,0,Regular Customers,1
23,6,21429.39,1,2,-1,-1,-1,-1,0,Regular Customers,1
236,4,3010.74,3,1,0,0,0,0,0,Low-Value Customers,3
281,2,3811.95,3,1,-1,0,0,0,0,Low-Value Customers,3
87,1,112.07999999999998,1,2,0,0,0,0,3,Regular Customers,1
16,13,7834.650000000001,0,2,0,0,0,0,0,High-Value Customers,0
117,2,2791.59,1,1,0,0,0,0,0,Regular Customers,1
52,3,1531.44,1,2,0,0,0,0,1,Regular Customers,1
8,2,1898.52,1,2,0,0,0,0,1,Regular Customers,1
138,2,494.08,1,1,0,0,0,0,3,Regular Customers,1
317,1,1693.88,3,1,0,0,0,0,0,Low-Value Customers,3
4,7,6989.63,1,2,0,0,0,0,0,Regular Customers,1
239,1,1143.6,3,1,0,0,0,0,0,Low-Value Customers,3
211,1,1351.45,3,1,0,0,0,0,0,Low-Value Customers,3
60,1,892.47,1,2,0,0,0,0,1,Regular Customers,1
17,5,1386.04,1,2,0,0,0,0,1,Regular Customers,1
20,6,822.23,1,2,0,0,0,0,1,Regular Customers,1
38,8,3981.36,1,2,0,0,0,0,1,Regular Customers,1
64,2,826.74,1,2,0,0,0,0,3,Regular Customers,1
5,5,2330.92,1,2,0,0,0,0,1,Regular Customers,1
2,6,2225.91,1,2,0,0,0,0,1,Regular Customers,1
9,2,532.8199999999999,1,2,0,0,0,0,3,Regular Customers,1
364,1,311.95,3,1,0,0,0,0,3,Low-Value Customers,3
10,3,463.66,1,2,0,0,0,0,1,Regular Customers,1
65,1,91.85,1,2,0,0,0,0,3,Regular Customers,1
192,1,324.92,3,1,0,0,0,0,3,Low-Value Customers,3
374,1,192.6,3,1,0,0,0,0,3,Low-Value Customers,3
257,1,400.54,3,1,0,0,0,0,3,Low-Value Customers,3
335,2,545.48,3,1,0,0,0,0,3,Low-Value Customers,3
53,2,860.41,1,2,0,0,0,0,1,Regular Customers,1
19,1,430.48,1,2,0,0,0,0,3,Regular Customers,1
366,1,254.03,3,1,0,0,0,0,3,Low-Value Customers,3
10,3,6977.04,1,2,0,0,0,0,0,Regular Customers,1
187,1,427.58,3,1,0,0,0,0,3,Low-Value Customers,3
37,3,483.65,1,2,0,0,0,0,1,Regular Customers,1
178,1,489.31,3,1,0,0,0,0,3,Low-Value Customers,3
261,3,514.85,3,1,0,0,0,0,3,Low-Value Customers,3
45,1,229.64,1,2,0,0,0,0,3,Regular Customers,1
102,1,125.92,1,2,0,0,0,0,3,Regular Customers,1
148,2,1063.46,3,1,0,0,0,0,3,Low-Value Customers,3
96,2,572.2,1,2,0,0,0,0,3,Regular Customers,1
281,1,166.04,3,1,0,0,0,0,3,Low-Value Customers,3
262,1,1542.08,3,1,0,0,0,0,0,Low-Value Customers,3
3,4,942.34,1,2,0,0,0,0,1,Regular Customers,1
214,1,92.72,3,1,0,0,0,0,3,Low-Value Customers,3
71,2,948.88,1,2,0,0,0,0,1,Regular Customers,1
75,5,1759.5,1,2,0,0,0,0,1,Regular Customers,1
60,1,397.12,1,2,0,0,0,0,3,Regular Customers,1
3,7,1474.72,1,2,0,0,0,0,1,Regular Customers,1
6,3,430.15,1,2,0,0,0,0,1,Regular Customers,1
3,6,1018.71,1,2,0,0,0,0,1,Regular Customers,1
337,2,293.0,3,1,0,0,0,0,3,Low-Value Customers,3
38,6,6814.64,1,2,0,0,0,0,0,Regular Customers,1
262,1,215.05,3,1,0,0,0,0,3,Low-Value Customers,3
32,2,383.03,1,2,0,0,0,0,3,Regular Customers,1
145,1,417.38,3,1,0,0,0,0,3,Low-Value Customers,3
283,1,312.38,3,1,0,0,0,0,3,Low-Value Customers,3
59,5,2610.36,1,2,0,0,0,0,1,Regular Customers,1
173,1,134.1,3,1,0,0,0,0,3,Low-Value Customers,3
34,2,671.95,1,2,0,0,0,0,3,Regular Customers,1
3,14,5591.42,0,2,0,0,0,0,0,High-Value Customers,0
144,4,2726.77,1,1,0,0,0,0,0,Regular Customers,1
5,24,3991.58,0,2,1,0,0,0,0,High-Value Customers,0
70,2,1118.99,1,2,0,0,0,0,1,Regular Customers,1
66,8,1702.26,1,2,0,0,0,0,1,Regular Customers,1
29,2,325.96000000000004,1,2,0,0,0,0,3,Regular Customers,1
267,4,354.09,3,1,0,0,0,0,0,Low-Value Customers,3
22,1,843.64,1,2,0,0,0,0,1,Regular Customers,1
31,2,1010.29,1,2,0,0,0,0,1,Regular Customers,1
97,1,131.81,1,2,0,0,0,0,3,Regular Customers,1
295,1,311.55,3,1,0,0,0,0,3,Low-Value Customers,3
135,6,1957.1,1,1,0,0,0,0,0,Regular Customers,1
79,3,1316.25,1,2,0,0,0,0,1,Regular Customers,1
373,1,38.1,3,1,0,0,0,0,3,Low-Value Customers,3
8,6,2170.78,1,2,0,0,0,0,1,Regular Customers,1
211,2,1106.4,3,1,0,0,0,0,3,Low-Value Customers,3
52,1,521.2,1,2,0,0,0,0,3,Regular Customers,1
138,1,147.12,1,2,0,0,0,0,3,Regular Customers,1
26,2,1568.23,1,2,0,0,0,0,1,Regular Customers,1
283,1,559.12,3,1,0,0,0,0,3,Low-Value Customers,3
26,7,4009.34,1,2,0,0,0,0,1,Regular Customers,1
186,6,1607.0600000000002,3,1,0,0,0,0,0,Low-Value Customers,3
84,2,380.64,1,2,0,0,0,0,3,Regular Customers,1
327,2,599.97,3,1,0,0,0,0,3,Low-Value Customers,3
282,1,374.0,3,1,0,0,0,0,3,Low-Value Customers,3
143,2,343.2300000000001,1,1,0,0,0,0,3,Regular Customers,1
58,2,2218.02,1,2,0,0,0,0,1,Regular Customers,1
4,12,1535.77,1,2,0,0,0,0,0,Regular Customers,1
236,2,854.99,3,1,0,0,0,0,3,Low-Value Customers,3
45,3,573.22,1,2,0,0,0,0,1,Regular Customers,1
276,1,298.0,3,1,0,0,0,0,3,Low-Value Customers,3
9,2,1463.04,1,2,0,0,0,0,1,Regular Customers,1
25,4,703.47,1,2,0,0,0,0,1,Regular Customers,1
88,1,309.05,1,2,0,0,0,0,3,Regular Customers,1
63,3,1175.22,1,2,0,0,0,0,1,Regular Customers,1
68,2,1378.4,1,2,0,0,0,0,1,Regular Customers,1
